LOGIN,SYMBOL,TICKET,PROFIT,loss,win,win_rate
53078,XAUUSD,1,-12.0,1,0,0.0
53170,AUDJPY,63,22.57,42,21,0.3333333333333333
53170,AUDUSD,48,-27.1,32,16,0.3333333333333333
53170,EURCHF,9,-5.68,7,2,0.2222222222222222
53170,EURGBP,1,-3.16,1,0,0.0
53170,EURJPY,379,-309.99,273,106,0.2796833773087071
53170,EURUSD,520,-633.5,397,123,0.23653846153846153
53170,GBPJPY,111,-287.83,85,26,0.23423423423423423
53170,GBPUSD,978,-2441.1,754,224,0.22903885480572597
53170,NZDUSD,35,-186.7,20,15,0.42857142857142855
53170,USDCAD,3,5.33,1,2,0.6666666666666666
53170,USDCHF,16,-42.04,13,3,0.1875
53170,USDJPY,207,-91.35999999999999,149,58,0.28019323671497587
53234,AUDUSD,1,2.0,0,1,1.0
53234,EURCHF,6,-75.95,3,3,0.5
53234,EURJPY,5,77.94,0,5,1.0
53234,EURUSD,18,-649.0,6,12,0.6666666666666666
53234,GBPJPY,1,10.09,0,1,1.0
53234,GBPUSD,67,-1059.0,22,45,0.6716417910447762
53234,NZDUSD,1,4.0,0,1,1.0
53234,USDCAD,11,141.24,3,8,0.7272727272727273
53234,USDCHF,2,-62.370000000000005,2,0,0.0
53234,USDJPY,9,-193.2,4,5,0.5555555555555556
53261,AUDJPY,1,0.84,0,1,1.0
53261,AUDUSD,10,-226.2,7,3,0.3
53261,EURAUD,4,14.43,0,4,1.0
53261,EURCHF,3,3.34,0,3,1.0
53261,EURGBP,5,-294.81,1,4,0.8
53261,EURJPY,45,153.98,5,40,0.8888888888888888
53261,EURUSD,177,-682.8000000000001,87,90,0.5084745762711864
53261,GBPCHF,211,-1337.18,18,193,0.9146919431279621
53261,GBPJPY,63,118.47,8,55,0.873015873015873
53261,GBPUSD,200,-2150.4,69,131,0.655
53261,NZDUSD,3,-28.0,3,0,0.0
53261,USDCAD,83,53.72999999999999,10,73,0.8795180722891566
53261,USDCHF,58,59.54,4,54,0.9310344827586207
53261,USDJPY,151,-509.48,26,125,0.8278145695364238
53262,AUDJPY,1,5.83,0,1,1.0
53262,EURAUD,3,12.469999999999999,0,3,1.0
53262,EURCAD,11,39.02,0,11,1.0
53262,EURGBP,4,8.219999999999999,0,4,1.0
53262,EURJPY,100,7.969999999999999,11,89,0.89
53262,EURUSD,257,174.3,104,153,0.5953307392996109
53262,GBPCHF,138,-735.6,34,104,0.7536231884057971
53262,GBPJPY,298,-1074.84,64,234,0.785234899328859
53262,GBPUSD,3,6.7,1,2,0.6666666666666666
53262,USDCAD,2,3.73,0,2,1.0
53262,USDCHF,53,-31.260000000000012,12,41,0.7735849056603774
53262,USDJPY,47,-172.94,15,32,0.6808510638297872
53342,EURJPY,27,-686.8799999999999,15,12,0.4444444444444444
53342,EURUSD,497,-14104.25,296,201,0.4044265593561368
53342,GBPJPY,3,38.34,1,2,0.6666666666666666
53342,GBPUSD,63,-162.0,34,29,0.4603174603174603
53342,USDCAD,23,-1611.28,18,5,0.21739130434782608
53342,USDCHF,15,-1534.76,7,8,0.5333333333333333
53342,USDJPY,138,-10615.050000000001,93,45,0.32608695652173914
53342,USDMXN,161,-10252.09,105,56,0.34782608695652173
53342,XAGUSD,3,-67.0,3,0,0.0
53342,XAUUSD,9,-2614.25,8,1,0.1111111111111111
53398,AUDUSD,477,559.87,145,332,0.6960167714884696
53398,CHFJPY,3,-50.42,2,1,0.3333333333333333
53398,EURAUD,7,8.379999999999995,3,4,0.5714285714285714
53398,EURCHF,13,-104.81000000000002,5,8,0.6153846153846154
53398,EURGBP,19,35.940000000000005,6,13,0.6842105263157895
53398,EURJPY,11,36.410000000000004,3,8,0.7272727272727273
53398,EURUSD,1025,-10979.77,394,631,0.615609756097561
53398,GBPJPY,2,-104.72999999999999,2,0,0.0
53398,GBPUSD,1742,2761.94,679,1063,0.6102181400688863
53398,NZDUSD,6,-420.0,5,1,0.16666666666666666
53398,USDCAD,334,-232.24999999999994,84,250,0.7485029940119761
53398,USDCHF,171,261.84,51,120,0.7017543859649122
53398,USDJPY,211,676.69,52,159,0.7535545023696683
53573,AUDCAD,5,-1621.6000000000001,3,2,0.4
53573,AUDJPY,135,-907.3300000000002,67,68,0.5037037037037037
53573,AUDUSD,448,-2852.8,221,227,0.5066964285714286
53573,CADJPY,3,64.05,1,2,0.6666666666666666
53573,CHFJPY,21,-3878.5199999999995,13,8,0.38095238095238093
53573,EURAUD,216,-7982.280000000001,111,105,0.4861111111111111
53573,EURCAD,4,-69.32000000000001,2,2,0.5
53573,EURCHF,17,528.4999999999999,9,8,0.47058823529411764
